uri:/instrument/1.0/BSFT/chartdata;type=quote;range=1d/csv
ticker:bsft
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:29.6600
Timestamp:1370871000,1370894400
labels:1370872800,1370876400,1370880000,1370883600,1370887200,1370890800,1370894400
values:Timestamp,close,high,low,open,volume
close:29.3910,30.8400
high:29.3910,30.8400
low:29.3600,30.8100
open:29.3910,30.8300
volume:0,14100
1370871000,29.6700,29.6700,29.6700,29.6700,1300
1370871133,29.5000,29.5000,29.5000,29.5000,1600
1370871185,29.5000,29.5000,29.5000,29.5000,1000
1370871282,29.5900,29.5900,29.3600,29.5000,1400
1370871429,29.3910,29.3910,29.3910,29.3910,100
1370871551,29.6000,29.6000,29.6000,29.6000,100
1370871656,29.4900,29.4900,29.4400,29.4700,1800
1370871714,29.6000,29.6000,29.4600,29.4600,1800
1370871807,29.4700,29.4900,29.4700,29.4900,300
1370871872,29.4300,29.4400,29.4200,29.4200,500
1370872046,29.5200,29.5200,29.5200,29.5200,100
1370872280,29.5850,29.5850,29.5300,29.5400,1000
1370872586,29.5900,29.5900,29.5900,29.5900,200
1370872673,29.5700,29.5700,29.5700,29.5700,200
1370872734,29.6500,29.6500,29.5900,29.5900,800
1370872837,29.5900,29.6000,29.5700,29.5900,1500
1370873091,29.6500,29.6500,29.6400,29.6400,200
1370873224,29.6500,29.6600,29.6500,29.6600,600
1370873380,29.6600,29.6600,29.6600,29.6600,100
1370873518,29.6600,29.6700,29.6600,29.6700,300
1370873543,29.6400,29.6400,29.6400,29.6400,300
1370873811,29.6850,29.7150,29.6850,29.7150,200
1370873854,29.7200,29.7200,29.6920,29.6920,500
1370874116,29.8300,29.8400,29.7900,29.7900,6500
1370874177,29.8100,29.8400,29.8100,29.8400,1400
1370874229,29.8290,29.8290,29.8100,29.8200,700
1370874285,29.8000,29.8200,29.8000,29.8100,500
1370874343,29.8800,29.8800,29.8200,29.8300,7100
1370874446,29.8800,29.9000,29.8800,29.9000,500
1370874537,29.8700,29.9100,29.8700,29.9000,1900
1370874563,29.9300,29.9300,29.9000,29.9000,400
1370874770,29.9500,29.9500,29.9500,29.9500,1000
1370874959,29.9900,30.0000,29.9900,30.0000,14100
1370874994,29.9500,30.0000,29.9500,30.0000,1600
1370875058,30.0000,30.0000,29.9600,29.9900,700
1370875174,29.9600,29.9800,29.9600,29.9800,1300
1370875253,29.9700,29.9700,29.9450,29.9450,1700
1370875318,30.0000,30.0000,29.9800,29.9800,500
1370875379,30.0000,30.0000,30.0000,30.0000,2000
