uri:/instrument/1.0/VHC/chartdata;type=quote;range=1d/csv
ticker:vhc
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:23.1000
Timestamp:1370439000,1370462400
labels:1370440800,1370444400,1370448000,1370451600,1370455200,1370458800,1370462400
values:Timestamp,close,high,low,open,volume
close:22.7600,23.6900
high:22.7750,23.8600
low:22.7300,23.4710
open:22.7400,23.4710
volume:0,30300
1370439058,23.2800,23.3040,23.1700,23.1700,11800
1370439107,23.6900,23.8600,23.2310,23.2800,7700
1370439157,23.5380,23.5460,23.4710,23.4710,1100
1370439219,23.5500,23.5600,23.4100,23.4610,13700
1370439267,23.2510,23.3800,23.2510,23.3400,300
1370439400,23.0400,23.3000,23.0400,23.3000,2400
1370439474,23.2180,23.2400,23.0520,23.1300,2200
1370439529,23.0810,23.2100,23.0810,23.2000,1900
1370439586,23.3100,23.3200,23.2100,23.2100,1300
1370439602,23.3020,23.3020,23.3020,23.3020,200
1370439675,23.2520,23.2520,23.1500,23.1500,500
1370439739,23.1950,23.1950,23.1900,23.1900,300
1370439798,23.2000,23.2000,23.2000,23.2000,700
1370439879,23.1600,23.1600,23.1600,23.1600,200
1370439959,23.1600,23.2258,23.1000,23.2258,6700
1370440011,23.1100,23.2200,23.0300,23.2100,800
1370440028,23.1100,23.1100,23.1100,23.1100,200
1370440131,23.1100,23.1250,23.1100,23.1150,4200
1370440177,23.1200,23.1600,23.1200,23.1600,600
1370440225,23.1600,23.1600,23.1440,23.1440,900
1370440357,23.1300,23.1700,23.1200,23.1350,2700
1370440420,23.0850,23.0850,23.0400,23.0400,400
1370440498,23.0000,23.0650,23.0000,23.0650,6400
1370440558,22.8301,23.0000,22.8301,23.0000,4000
1370440590,22.8700,22.8700,22.7300,22.8300,5700
1370440733,22.8100,22.8500,22.7435,22.8500,3400
1370440795,22.8000,22.8000,22.7400,22.7400,600
1370440857,22.9500,22.9800,22.8400,22.8400,1900
1370440918,22.8900,23.0000,22.8900,22.9400,1200
1370440952,22.8600,22.9500,22.8600,22.9100,1500
1370441030,22.9000,22.9000,22.8100,22.8100,600
1370441091,22.9900,23.0000,22.9500,22.9500,2400
1370441195,22.9000,22.9000,22.8730,22.8900,1500
1370441272,22.9400,22.9400,22.9300,22.9300,400
1370441337,22.9900,22.9900,22.8900,22.9400,1200
1370441390,22.9050,22.9900,22.9050,22.9800,3500
1370441433,22.7800,22.9350,22.7800,22.9000,9900
1370441514,22.8160,22.8700,22.7600,22.7600,600
1370441570,22.7800,22.8100,22.7800,22.8100,200
1370441639,22.8900,22.9100,22.7600,22.8000,4500
1370441696,22.9100,22.9892,22.8600,22.8700,6700
1370441754,22.8180,22.9300,22.7700,22.9299,6500
1370441812,22.8500,22.8500,22.8200,22.8200,600
1370441821,22.8600,22.8600,22.8600,22.8600,100
1370441910,22.8600,22.8900,22.8600,22.8700,900
1370441972,22.8900,22.9200,22.8900,22.9100,700
1370442045,22.8500,22.8500,22.8000,22.8000,500
1370442119,22.7950,22.8500,22.7950,22.8500,200
1370442179,22.8600,22.8700,22.8600,22.8700,700
1370442231,22.9300,22.9300,22.8000,22.8600,3400
1370442290,22.9300,22.9750,22.9200,22.9400,5600
1370442355,22.9200,22.9600,22.8710,22.9210,10000
1370442409,22.8900,22.9100,22.8900,22.9100,9800
1370442445,22.8000,22.8800,22.8000,22.8800,1300
1370442488,22.8000,22.8000,22.8000,22.8000,100
1370442597,22.8900,22.8900,22.8100,22.8100,600
